"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61"
"11",0.417446230405356,0.327625056807367,0.269679656815986,0.211734256824605,0.15403696558166,0.130600525799818,0.107164086017975,0.083727646236133,0.0602912064542905,0.0499813942898799,0.0420220850874158,0.0340627758849517,0.0261034666824875,0.0181441574800234,0.0153621768869514,0.0131391892506994,0.0109162016144474,0.00869321397819535,0.00647022634194334,0.00428472876665102,0.00378816982522233,0.00329161088379364,0.00279505194236495,0.00229849300093627,0.00180193405950758,0.00130537511807889,0.000820644015177539,0.000735430016047777,0.000650216016918014,0.000565002017788252,0.00047978801865849,0.000394574019528728,0.000309360020398966,0.000224146021269204,0.000138932022139442,0.000106986416821839,9.64455494360777e-05,8.59046820503167e-05,7.53638146645559e-05,6.48229472787949e-05,5.4282079893034e-05,4.37412125072731e-05,3.32003451215122e-05,2.26594777357512e-05,1.21186103499903e-05,9.58825870416558e-06,8.75205405334906e-06,7.91584940253253e-06,7.07964475171601e-06,6.24344010089948e-06,5.40723545008295e-06,4.57103079926643e-06,3.7348261484499e-06,2.89862149763337e-06,2.06241684681684e-06,1.22621219600032e-06,4.44376040380915e-07,4.12438138697228e-07,3.8050023701354e-07,3.48562335329852e-07,3.16624433646164e-07
"12",0.65555038090225,0.533233746176668,0.410917111451086,0.341605861974024,0.283660461982643,0.225715061991262,0.168040326089084,0.144603886307242,0.121167446525399,0.0977310067435567,0.0742945669617142,0.0581430252264436,0.0501837160239795,0.0422244068215154,0.0342650976190512,0.0263057884165871,0.018779636273267,0.016556648637015,0.014333661000763,0.0121106733645109,0.00988768572825892,0.0076646980920069,0.00544171045575488,0.00435825750998285,0.00386169856855416,0.00336513962712547,0.00286858068569679,0.0023720217442681,0.00187546280283941,0.00137890386141073,0.000895248016557315,0.000810034017427553,0.00072482001829779,0.000639606019168028,0.000554392020038266,0.000469178020908504,0.000383964021778742,0.00029875002264898,0.000213536023519218,0.000128322024389455,0.000114795933371867,0.000104255065986107,9.37141986003456e-05,8.31733312145847e-05,7.26324638288238e-05,6.20915964430628e-05,5.15507290573019e-05,4.1009861671541e-05,3.04689942857801e-05,1.99281269000191e-05,1.10680674233199e-05,1.02318627725034e-05,9.39565812168688e-06,8.55945347087035e-06,7.72324882005382e-06,6.88704416923729e-06,6.05083951842077e-06,5.21463486760424e-06,4.37843021678771e-06,3.54222556597119e-06,2.70602091515466e-06
"13",0.932333030510612,0.771337896673561,0.649021261947979,0.526704627222398,0.413532067132061,0.35558666714068,0.297641267149299,0.239695867157919,0.182043686596508,0.158607246814665,0.135170807032823,0.11173436725098,0.0882979274691378,0.0663046561630073,0.0583453469605432,0.050386037758079,0.0424267285556149,0.0344674193531508,0.0265081101506866,0.0199741080233306,0.0177511203870786,0.0155281327508265,0.0133051451145745,0.0110821574783225,0.00885916984207049,0.00663618220581847,0.00492834519474338,0.00443178625331469,0.003935227311886,0.00343866837045732,0.00294210942902863,0.00244555048759994,0.00194899154617125,0.00145243260474257,0.00096985201793709,0.000884638018807328,0.000799424019677566,0.000714210020547804,0.000628996021418042,0.00054378202228828,0.000458568023158518,0.000373354024028755,0.000288140024898993,0.000202926025769231,0.000133146317307657,0.000122605449921896,0.000112064582536135,0.000101523715150374,9.09828477646134e-05,8.04419803788525e-05,6.99011129930916e-05,5.93602456073307e-05,4.88193782215697e-05,3.82785108358088e-05,2.77376434500479e-05,1.7196776064287e-05,1.17116714916577e-05,1.08754668408412e-05,1.00392621900247e-05,9.20305753920817e-06,8.36685288839165e-06
"14",1.3136921229317,1.0900623912115,0.887125412444872,0.764808777719291,0.642492142993709,0.520175508268128,0.427512872298718,0.369567472307337,0.311622072315956,0.253676672324575,0.196047047103932,0.172610607322089,0.149174167540246,0.125737727758404,0.102301287976561,0.078864848194719,0.0665069778971069,0.0585476686946427,0.0505883594921786,0.0426290502897145,0.0346697410872503,0.0267104318847862,0.0211685797733942,0.0189455921371421,0.0167226045008901,0.0144996168646381,0.0122766292283861,0.0100536415921341,0.00783065395588205,0.00560766631963003,0.00500187393807521,0.00450531499664653,0.00400875605521784,0.00351219711378915,0.00301563817236046,0.00251907923093178,0.00202252028950309,0.0015259613480744,0.00104445601931687,0.000959242020187104,0.000874028021057343,0.00078881402192758,0.000703600022797818,0.000618386023668056,0.000533172024538294,0.000447958025408532,0.00036274402627877,0.000277530027149008,0.000192316028019246,0.000140955833857686,0.000130414966471925,0.000119874099086164,0.000109333231700403,9.87923643146421e-05,8.82514969288812e-05,7.77106295431203e-05,6.71697621573594e-05,5.66288947715985e-05,4.60880273858376e-05,3.55471600000766e-05,2.50062926143157e-05
"15",1.69505121535278,1.47142148363259,1.24779175191239,1.0241620201922,0.880596293490602,0.758279658765021,0.635963024039439,0.513646389313858,0.441493677465374,0.383548277473994,0.325602877482613,0.267657477491232,0.210050407611355,0.186613967829513,0.16317752804767,0.139741088265828,0.116304648483985,0.0928682087021427,0.0746686088336705,0.0667092996312064,0.0587499904287423,0.0507906812262781,0.042831372023814,0.0348720628213499,0.0269127536188858,0.0223630515234577,0.0201400638872057,0.0179170762509537,0.0156940886147017,0.0134711009784497,0.0112481133421976,0.00902512570594563,0.00680213806969361,0.00557196162283574,0.00507540268140705,0.00457884373997837,0.00408228479854968,0.00358572585712099,0.0030891669156923,0.00259260797426362,0.00209604903283493,0.00159949009140624,0.00111906002069664,0.00103384602156688,0.000948632022437119,0.000863418023307357,0.000778204024177595,0.000692990025047833,0.00060777602591807,0.000522562026788309,0.000437348027658546,0.000352134028528784,0.000266920029399022,0.00018170603026926,0.000148765350407715,0.000138224483021954,0.000127683615636193,0.000117142748250432,0.000106601880864671,9.60610134789101e-05,8.55201460931492e-05
"16",2.21519092422935,1.85626566680713,1.62915084433348,1.40552111261328,1.18189138089309,0.996383809261914,0.874067174536332,0.75175053981075,0.629433905085169,0.513419882623412,0.455474482632031,0.39752908264065,0.33958368264927,0.281638282657889,0.224053768118779,0.200617328336936,0.177180888555094,0.153744448773251,0.130308008991409,0.106871569209566,0.0834351294277238,0.0748709305677701,0.066911621365306,0.0589523121628419,0.0509930029603777,0.0430336937579136,0.0350743845554495,0.0271150753529853,0.0235575232735213,0.0213345356372693,0.0191115480010173,0.0168885603647653,0.0146655727285132,0.0124425850922612,0.0102195974560092,0.00799660981975719,0.00614204930759626,0.00564549036616758,0.00514893142473889,0.0046523724833102,0.00415581354188151,0.00365925460045283,0.00316269565902414,0.00266613671759545,0.00216957777616676,0.00167301883473807,0.00119366402207642,0.00110845002294666,0.0010232360238169,0.000938022024687133,0.000852808025557371,0.000767594026427609,0.000682380027297847,0.000597166028168085,0.000511952029038323,0.000426738029908561,0.000341524030778799,0.000256310031649036,0.000171096032519274,0.000156574866957743,0.000146033999571982
"17",2.75743127159368,2.39850601417146,2.03958075674924,1.78688020503437,1.56325047331418,1.33962074159398,1.11599100987379,0.989854690307644,0.867538055582062,0.745221420856481,0.622904786130899,0.527400687790069,0.469455287798688,0.411509887807307,0.353564487815926,0.295619087824546,0.238057128626203,0.21462068884436,0.191184249062517,0.167747809280675,0.144311369498832,0.12087492971699,0.0974384899351475,0.0830325615043338,0.0750732523018697,0.0671139430994055,0.0591546338969414,0.0511953246944773,0.0432360154920131,0.035276706289549,0.0273173970870849,0.0247519950235849,0.0225290073873329,0.0203060197510809,0.0180830321148288,0.0158600444785768,0.0136370568423248,0.0114140692060728,0.00919108156982077,0.00696809393356875,0.00621557805092809,0.00571901910949941,0.00522246016807072,0.00472590122664203,0.00422934228521334,0.00373278334378465,0.00323622440235597,0.00273966546092728,0.00224310651949859,0.00174654757806991,0.0012682680234562,0.00118305402432643,0.00109784002519667,0.00101262602606691,0.000927412026937146,0.000842198027807384,0.000756984028677622,0.00067177002954786,0.000586556030418098,0.000501342031288336,0.000416128032158574
"18",3.29967161895801,2.94074636153579,2.58182110411357,2.22289584669136,1.94460956573526,1.72097983401507,1.49735010229487,1.27372037057468,1.10564220607896,0.983325571353374,0.861008936627792,0.738692301902211,0.616375667176629,0.541381492956726,0.483436092965345,0.425490692973964,0.367545292982583,0.309599892991203,0.252060489133626,0.228624049351784,0.205187609569941,0.181751169788099,0.158314730006256,0.134878290224414,0.111441850442571,0.0911941924408975,0.0832348832384334,0.0752755740359692,0.0673162648335051,0.059356955631041,0.0513976464285768,0.0434383372261127,0.0354790280236486,0.0281694544099005,0.0259464667736485,0.0237234791373965,0.0215004915011444,0.0192775038648924,0.0170545162286404,0.0148315285923884,0.0126085409561364,0.0103855533198844,0.00816256568363233,0.00678566573568862,0.00628910679425993,0.00579254785283125,0.00529598891140256,0.00479942996997387,0.00430287102854519,0.0038063120871165,0.00330975314568781,0.00281319420425912,0.00231663526283043,0.00182007632140175,0.00134287202483597,0.00125765802570621,0.00117244402657645,0.00108723002744669,0.00100201602831692,0.000916802029187161,0.000831588030057399
"19",3.9957019438167,3.48298670890013,3.12406145147791,2.76513619405569,2.40621093663347,2.10233892643615,1.87870919471596,1.65507946299576,1.43144973127557,1.22142972185027,1.09911308712469,0.976796452399104,0.854479817673522,0.73216318294794,0.613307698114763,0.555362298123382,0.497416898132002,0.439471498140621,0.38152609814924,0.323580698157859,0.26606384964105,0.242627409859207,0.219190970077365,0.195754530295522,0.17231809051368,0.148881650731837,0.125445210949995,0.102008771168152,0.091396514174997,0.0834372049725329,0.0754778957700687,0.0675185865676046,0.0595592773651405,0.0515999681626764,0.0436406589602122,0.0356813497577481,0.0293639261599641,0.0271409385237121,0.0249179508874601,0.022694963251208,0.020471975614956,0.018248987978704,0.016026000342452,0.0138030127062,0.0115800250699479,0.00935703743369591,0.00735575342044914,0.00685919447902046,0.00636263553759177,0.00586607659616309,0.0053695176547344,0.00487295871330571,0.00437639977187702,0.00387984083044833,0.00338328188901964,0.00288672294759096,0.00239016400616227,0.00189360506473358,0.00141747602621575,0.00133226202708599,0.00124704802795622
"20",4.69173226867539,4.17901703375881,3.66630179884224,3.30737654142002,2.9484512839978,2.58952602657558,2.26006828713705,2.03643855541685,1.81280882369666,1.58917909197646,1.36554936025627,1.214900602896,1.09258396817042,0.970267333444834,0.847950698719252,0.725634063993671,0.62728850328142,0.569343103290039,0.511397703298658,0.453452303307278,0.395506903315897,0.337561503324516,0.280067210148474,0.256630770366631,0.233194330584789,0.209757890802946,0.186321451021104,0.162885011239261,0.139448571457419,0.116012131675576,0.0995581451115607,0.0915988359090966,0.0836395267066325,0.0756802175041683,0.0677209083017042,0.0597615990992401,0.0518022898967759,0.0438429806943118,0.0358836714918477,0.0305583979100277,0.0283354102737757,0.0261124226375236,0.0238894350012716,0.0216664473650196,0.0194434597287676,0.0172204720925156,0.0149974844562636,0.0127744968200115,0.0105515091837595,0.00832852154750749,0.00742928216378099,0.0069327232223523,0.00643616428092361,0.00593960533949493,0.00544304639806623,0.00494648745663755,0.00444992851520886,0.00395336957378017,0.00345681063235149,0.0029602516909228,0.00246369274949411
